DateTime,Time,MeasurementCount,OverallJudgment,#d1,#d2,Judgment1,Judgment2,Judgment3,Judgment4,WireLength,WireWidth,TerminalWidth,WireTerminalDistance,WireAngle,InspectionArea,UnpeeledArea,#go,#auto,OutputBufferMargin
28/08/2024,23:47:50,68279060,OK,0,0,0,0,0,0,0.19841,0.0632,0.0948,0.21172,80.96484,0.00743,0,1,1,100
28/08/2024,23:47:50,68279059,OK,0,0,0,0,0,0,0.20039,0.0632,0.09164,0.18486,84.15234,0.00745,0,1,0,100
28/08/2024,23:47:50,68279058,OK,0,0,0,0,0,0,0.20039,0.0632,0.09164,0.18486,84.15234,0.00745,0,4,1,100
28/08/2024,23:47:50,68279057,OK,0,0,0,0,0,0,0.24419,0.06004,0.09164,0.16432,84.91406,0.00895,0,1,0,100
28/08/2024,23:47:50,68279056,OK,0,0,0,0,0,0,0.24419,0.06004,0.09164,0.16432,84.91406,0.00895,0,3,1,100
28/08/2024,23:47:49,68279055,OK,0,0,0,0,0,0,0.25594,0.06004,0.08532,0.20856,87.38281,0.00918,0,1,0,100
28/08/2024,23:47:49,68279054,OK,0,0,0,0,0,0,0.25594,0.06004,0.08532,0.20856,87.38281,0.00918,0,2,1,100
28/08/2024,23:47:49,68279053,OK,0,0,0,0,0,0,0.20034,0.06004,0.08532,0.21172,81.85156,0.00749,0,1,0,100
28/08/2024,23:47:49,68279052,OK,0,0,0,0,0,0,0.20034,0.06004,0.08532,0.21172,81.85156,0.00749,0,1,1,100
28/08/2024,23:47:49,68279051,OK,0,0,0,0,0,0,0.20234,0.06004,0.08848,0.19118,82.22266,0.0075,0,1,0,100
28/08/2024,23:47:49,68279050,OK,0,0,0,0,0,0,0.20234,0.06004,0.08848,0.19118,82.22266,0.0075,0,4,1,100
28/08/2024,23:47:49,68279049,OK,0,0,0,0,0,0,0.24542,0.06004,0.09164,0.16748,84.73828,0.00901,0,1,0,100
28/08/2024,23:47:49,68279048,OK,0,0,0,0,0,0,0.24542,0.06004,0.09164,0.16748,84.73828,0.00901,0,3,1,100
28/08/2024,23:47:48,68279047,OK,0,0,0,0,0,0,0.2537,0.06004,0.08532,0.20224,83.55859,0.00914,0,1,0,100
28/08/2024,23:47:48,68279046,OK,0,0,0,0,0,0,0.2537,0.06004,0.08532,0.20224,83.55859,0.00914,0,2,1,100
28/08/2024,23:47:48,68279045,OK,0,0,0,0,0,0,0.19534,0.0632,0.09164,0.21646,80.67969,0.00734,0,1,0,100
28/08/2024,23:47:48,68279044,OK,0,0,0,0,0,0,0.19534,0.0632,0.09164,0.21646,80.67969,0.00734,0,1,1,100
28/08/2024,23:47:48,68279043,OK,0,0,0,0,0,0,0.20888,0.06004,0.09164,0.19908,81.56641,0.00762,0,1,0,100
28/08/2024,23:47:48,68279042,OK,0,0,0,0,0,0,0.20888,0.06004,0.09164,0.19908,81.56641,0.00762,0,4,1,100
28/08/2024,23:47:48,68279041,OK,0,0,0,0,0,0,0.19698,0.06004,0.0948,0.21962,80.17578,0.008,0.00151,1,0,100
28/08/2024,23:47:47,68279040,OK,0,0,0,0,0,0,0.19698,0.06004,0.0948,0.21962,80.17578,0.008,0.00151,3,1,100
28/08/2024,23:47:47,68279039,OK,0,0,0,0,0,0,0.19695,0.06004,0.08532,0.158,87.51953,0.008,0,1,0,100
28/08/2024,23:47:47,68279038,OK,0,0,0,0,0,0,0.19695,0.06004,0.08532,0.158,87.51953,0.008,0,2,1,100
